subject_id,session,condition,segment_id,segment_file,n_samples,n_channels
202506,Session01,karton,0,outputs\cleaned_segments\202506_Session01_karton.npz,1024,32
202506,Session01,karton,1,outputs\cleaned_segments\202506_Session01_karton.npz,1024,32
202506,Session01,karton,2,outputs\cleaned_segments\202506_Session01_karton.npz,1024,32
202506,Session01,karton,3,outputs\cleaned_segments\202506_Session01_karton.npz,1024,32
202506,Session01,karton,4,outputs\cleaned_segments\202506_Session01_karton.npz,1024,32
202506,Session01,karton,5,outputs\cleaned_segments\202506_Session01_karton.npz,1024,32
202506,Session01,karton,6,outputs\cleaned_segments\202506_Session01_karton.npz,1024,32
202506,Session01,karton,7,outputs\cleaned_segments\202506_Session01_karton.npz,1024,32
202506,Session01,karton,8,outputs\cleaned_segments\202506_Session01_karton.npz,1024,32
202506,Session01,karton,9,outputs\cleaned_segments\202506_Session01_karton.npz,1024,32
202506,Session01,karton,10,outputs\cleaned_segments\202506_Session01_karton.npz,1024,32
202506,Session01,camsise,0,outputs\cleaned_segments\202506_Session01_camsise.npz,1024,32
202506,Session01,camsise,1,outputs\cleaned_segments\202506_Session01_camsise.npz,1024,32
202506,Session01,camsise,2,outputs\cleaned_segments\202506_Session01_camsise.npz,1024,32
202506,Session01,camsise,3,outputs\cleaned_segments\202506_Session01_camsise.npz,1024,32
202506,Session01,camsise,4,outputs\cleaned_segments\202506_Session01_camsise.npz,1024,32
202506,Session01,camsise,5,outputs\cleaned_segments\202506_Session01_camsise.npz,1024,32
202506,Session01,camsise,6,outputs\cleaned_segments\202506_Session01_camsise.npz,1024,32
202506,Session01,camsise,7,outputs\cleaned_segments\202506_Session01_camsise.npz,1024,32
202506,Session01,camsise,8,outputs\cleaned_segments\202506_Session01_camsise.npz,1024,32
202506,Session01,camsise,9,outputs\cleaned_segments\202506_Session01_camsise.npz,1024,32
202506,Session01,camsise,10,outputs\cleaned_segments\202506_Session01_camsise.npz,1024,32
202507,Session01,karton,0,outputs\cleaned_segments\202507_Session01_karton.npz,1024,32
202507,Session01,karton,1,outputs\cleaned_segments\202507_Session01_karton.npz,1024,32
202507,Session01,karton,2,outputs\cleaned_segments\202507_Session01_karton.npz,1024,32
202507,Session01,karton,3,outputs\cleaned_segments\202507_Session01_karton.npz,1024,32
202507,Session01,karton,4,outputs\cleaned_segments\202507_Session01_karton.npz,1024,32
202507,Session01,karton,5,outputs\cleaned_segments\202507_Session01_karton.npz,1024,32
202507,Session01,karton,6,outputs\cleaned_segments\202507_Session01_karton.npz,1024,32
202507,Session01,karton,7,outputs\cleaned_segments\202507_Session01_karton.npz,1024,32
202507,Session01,karton,8,outputs\cleaned_segments\202507_Session01_karton.npz,1024,32
202507,Session01,karton,9,outputs\cleaned_segments\202507_Session01_karton.npz,1024,32
202507,Session01,karton,10,outputs\cleaned_segments\202507_Session01_karton.npz,1024,32
202507,Session01,camsise,0,outputs\cleaned_segments\202507_Session01_camsise.npz,1024,32
202507,Session01,camsise,1,outputs\cleaned_segments\202507_Session01_camsise.npz,1024,32
202507,Session01,camsise,2,outputs\cleaned_segments\202507_Session01_camsise.npz,1024,32
202507,Session01,camsise,3,outputs\cleaned_segments\202507_Session01_camsise.npz,1024,32
202507,Session01,camsise,4,outputs\cleaned_segments\202507_Session01_camsise.npz,1024,32
202507,Session01,camsise,5,outputs\cleaned_segments\202507_Session01_camsise.npz,1024,32
202507,Session01,camsise,6,outputs\cleaned_segments\202507_Session01_camsise.npz,1024,32
202507,Session01,camsise,7,outputs\cleaned_segments\202507_Session01_camsise.npz,1024,32
202507,Session01,camsise,8,outputs\cleaned_segments\202507_Session01_camsise.npz,1024,32
202507,Session01,camsise,9,outputs\cleaned_segments\202507_Session01_camsise.npz,1024,32
